,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Humanistica Lovaniensia,2593-3019,9-January-2024,Changed publisher but hasn't supplied new URLs/site
Revista Científic@,2358-260X,7-January-2024,Journal not adhering to Best practice
Revista Brasileira de Direito Processual Penal,2525-510X,7-January-2024,Journal not adhering to Best practice
Pielęgniarstwo i Zdrowie Publiczne,2451-1870,6-January-2024,Ceased publishing
ETHOS: Felsefe ve Toplumsal Bilimlerde Diyaloglar,1309-1328,6-January-2024,Journal not adhering to Best practice
Journal of Biochemistry Education,2318-8790,2-January-2024,Journal not adhering to Best practice
Advances in Hospitality and Tourism Research,2148-7316,2-January-2024,Journal not adhering to Best practice
Bulletin of Social Informatics Theory and Application,2614-0047,29-December-2023,Journal not adhering to Best practice
Processes,2227-9717,28-December-2023,Journal not adhering to Best practice
Journal of Agricultural Production,2757-6620,23-December-2023,Journal not adhering to Best practice
JHeS (Journal of Health Studies) ,2549-3353,22-December-2023,Journal not adhering to Best practice
Izquierdas,0718-5049,21-December-2023,Ceased publishing
International Journal of Recent Surgical and Medical Sciences,2455-7420,20-December-2023,Journal not adhering to Best practice
International Journal of Economics and Finance Studies,1309-8055,20-December-2023,Journal not adhering to Best practice
International Journal of eBusiness and eGovernment Studies,2146-0744,20-December-2023,Journal not adhering to Best practice
International Journal of Social Sciences and Humanity Studies,1309-8063,20-December-2023,Journal not adhering to Best practice
Sasambo: Jurnal Abdimas (Journal of Community Service),2686-519X,13-December-2023,Journal not adhering to Best practice
Jurnal Penelitian dan Pengkajian Ilmu Pendidikan: e-Saintika,2615-6881,13-December-2023,Journal not adhering to Best practice
Journal of Language and Literature Studies,2808-1099,13-December-2023,Journal not adhering to Best practice
International Journal of Russian Studies,2158-7051,12-December-2023,Ceased publishing
Linchuang Gandanbing Zazhi,1001-5256,11-December-2023,Journal not adhering to Best practice
Warta Ardhia: Jurnal Perhubungan Udara ,2528-4045,11-December-2023,Website URL no longer works
Journal of Electrical Systems,1112-5209,7-December-2023,Website URL no longer works
Наукові записки Інституту законодавства Верховної Ради України,2220-1394,7-December-2023,Website URL no longer works
Mundo Nano,2007-5979,7-December-2023,Website URL no longer works
Advances in Applied Agricultural Sciences,2383-4234,7-December-2023,Website URL no longer works
Zoological Research,2095-8137,4-December-2023,Journal not adhering to Best practice
Journal of Shanghai Normal University (Natural Sciences),1000-5137,4-December-2023,Journal not adhering to Best practice
Science and Education,2181-0842,1-December-2023,Journal not adhering to Best practice
"Transformatika: Jurnal Bahasa, Sastra, dan Pengajarannya ",2549-6271,29-November-2023,Website URL no longer works
Aboriginal Policy Studies ,1923-3299,27-November-2023,Ceased publishing
Acta Universitaria,2007-9621,24-November-2023,Journal not adhering to Best practice
Indonesia Auditing Research Journal,2303-2596,23-November-2023,Journal not adhering to Best practice
Sinkron ,2541-2019,23-November-2023,Journal not adhering to Best practice
Economic Analysis Letters,2972-3272,22-November-2023,Journal not adhering to Best practice
Journal of Economic Analysis,2811-0943,22-November-2023,Journal not adhering to Best practice
German Journal of Veterinary Research,2703-1322,20-November-2023,Journal not adhering to Best practice
German Journal of Microbiology,2749-0149,20-November-2023,Journal not adhering to Best practice
Ciencia Médica,2220-2234,19-November-2023,Journal not adhering to Best practice
Journal of Biomedicine and Biotechnology,1110-7243,17-November-2023,Journal not adhering to Best practice
Revista da Escola de Guerra Naval,1809-3191,15-November-2023,Journal not adhering to Best practice
Revista Caribeña de Investigación Educativa,2636-2139,15-November-2023,Journal not adhering to Best practice
Revista Educação em Debate,2526-0847,15-November-2023,Journal not adhering to Best practice
Journal of Sports Science and Medicine,1303-2968,16-November-2023,Journal not adhering to Best practice
Annual Review of Cybertherapy and Telemedicine,1554-8716,14-November-2023,Journal not adhering to Best practice
Journal of Teacher Education and Educators,2147-5407,13-November-2023,Journal not adhering to Best practice
Cuadernos de Investigación en Juventud,2530-0091,11-November-2023,Ceased publishing
Razavi International Journal of Medicine,2345-6434,11-November-2023,Journal not adhering to Best practice
Dysona. Applied Science,2708-6283,9-November-2023,Journal not adhering to Best practice
Dysona. Life Science,2708-6291,9-November-2023,Journal not adhering to Best practice
Sibatik Journal,2809-8544,9-November-2023,Journal not adhering to Best practice
International Journal of Islamic Business and Economics (IJIBEC),2615-420X,4-November-2023,Journal not adhering to Best practice
Uluslararası İslam Ekonomisi ve Finansı Araştırmaları Dergisi,2149-8407,1-November-2023,Journal not adhering to Best practice
International Journal of Biology Education Towards Sustainable Development,2809-5073,1-November-2023,Journal not adhering to Best practice
Journal of Green Learning,2807-890X,1-November-2023,Journal not adhering to Best practice
Jurnal Pendidikan Indonesia Gemilang,2807-5285,1-November-2023,Journal not adhering to Best practice
MeTis,2240-9580,24-October-2023,Journal not adhering to Best practice
Revista de Patologia Tropical,0301-0406,20-October-2023,Web site URL no longer works
International Journal of Commerce and Finance ,2149-9608,20-October-2023,Journal not adhering to Best practice
Jurnal Kimia Mulawarman,2476-9258,19-October-2023,Journal not adhering to Best practice
Advances in Decision Sciences,2090-3359,19-October-2023,Journal not adhering to Best practice
Bioeduscience ,2614-1558,18-October-2023,Journal not adhering to Best practice
Makara Journal of Technology,2356-4539,18-October-2023,Journal not adhering to Best practice
Jurnal Wacana Hukum Islam dan Kemanusiaan,2477-8036,18-October-2023,Journal not adhering to Best practice
Jurnal Kajian Komunikasi ,2477-5606,18-October-2023,Journal not adhering to Best practice
Phenomenon ,2502-5708,18-October-2023,Journal not adhering to Best practice
European Chemical Bulletin,2063-5346,16-October-2023,Journal not adhering to Best practice
"Analele Universitatii ""Eftimie Murgu"" Resita: Fascicola II, Studii Economice ",2344-6498,13-October-2023,Ceased publishing
Journal: Jurnal TAM,2339-1103,13-October-2023,Journal not adhering to Best practice
IJISCS (International Journal of Information System and Computer Science) ,2620-3030,13-October-2023,Journal not adhering to Best practice
Jurnal Teknologi Komputer dan Sistem Informasi,2620-3030,13-October-2023,Journal not adhering to Best practice
Biofuel Research Journal,2292-8782,12-October-2023,Journal not adhering to Best practice
Telaah Bisnis,2541-6790,12-October-2023,Journal not adhering to Best practice
Ciencia Veterinaria,1515-1883,12-October-2023,Journal not adhering to Best practice
International Review of Scottish Studies,1923-5763,11-October-2023,Journal is no longer Open Access
International Journal of Spray and Combustion Dynamics ,1756-8285,6-October-2023,Journal is no longer Open Access
Journal of Basic Education Research ,2716-1560,6-October-2023,Journal not adhering to Best practice
Alsinatuna,2503-2690,6-October-2023,Journal not adhering to Best practice
Государственное и муниципальное управление,2079-1690,6-October-2023,Journal not adhering to Best practice
International Journal of Pedodontic Rehabilitation,2468-8940,2-October-2023,Journal not adhering to Best practice
Северо-Кавказский юридический вестник,2074-7306,4-October-2023,Journal not adhering to Best practice
Cambridge Encyclopedia of Anthropology,2398-516X,2-October-2023,Journal not adhering to Best practice
Ars Medica,0719-1855,26-September-2023,Journal not adhering to Best practice
"هواشناسی کشاورزی",2588-6002,22-September-2023,Journal not adhering to Best practice
Medical Laboratory Technology Journal,2461-0879,21-September-2023,Journal not adhering to Best practice
Journal of Injury and Violence Research ,2008-4072,21-September-2023,Journal not adhering to Best practice
Educational Research in Medical Sciences ,2252-0465,21-September-2023,Web site URL no longer works
Journal of Multidisciplinary Research,1947-2919,21-September-2023,Journal not adhering to Best practice
Archives of Hygiene Sciences,2251-9203,20-September-2023,Web site URL no longer works
JMPM: Jurnal Matematika dan Pendidikan Matematika,2502-9878,20-September-2023,Journal not adhering to Best practice
Healthcare in Low-resource Settings,2281-7824,19-September-2023,Journal not adhering to Best practice
International Journal of Men's Social and Community Health ,2561-9179,15-September-2023,Journal not adhering to Best practice
Detritus ,2611-4135,15-September-2023,Journal is no longer Open Access
Makara Human Behaviour Studies in Asia,2406-9183,13-September-2023,Journal not adhering to Best practice
ScienceRise,2313-8416,11-September-2023,Journal not adhering to Best practice
EUREKA: Physics and Engineering,2461-4254,11-September-2023,Journal not adhering to Best practice
EUREKA: Social and Humanities,2504-5563,11-September-2023,Journal not adhering to Best practice
EUREKA: Health Sciences,2504-5660,11-September-2023,Journal not adhering to Best practice
EUREKA: Life Sciences,2504-5687,11-September-2023,Journal not adhering to Best practice
Technology Transfer: Fundamental Principles and Innovative Technical Solutions,2585-6839,11-September-2023,Journal not adhering to Best practice
Technology Transfer: Innovative Solutions in Medicine,2585-6626,11-September-2023,Journal not adhering to Best practice
Oncobiology and Targets,2395-4469,7-September-2023,Ceased publishing
Eurasian Journal of Applied Linguistics,2149-1135,5-September-2023,Web site URL no longer works
International Journal of Critical Indigenous Studies ,1837-0144,5-September-2023,Ceased publishing
QUT Law Review ,2201-7275,5-September-2023,Ceased publishing
Trakya Üniversitesi Edebiyat Fakültesi Dergisi ,1309-7660,28-August-2023,Web site URL no longer works
Studies in Mycology ,0166-0616,28-August-2023,Changed publisher but hasn't supplied new URLs/site
International Journal of Politic and Security,2667-8268,25-August-2023,Journal not adhering to Best practice
Jurnal Handayani: Jurnal Kajian Pendidikan Pra Sekolah dan Pendidikan Dasar,2407-6295,22-August-2023,Journal not adhering to Best practice
Çocuk ve Gençlik Ruh Sağlığı Dergisi,2687-3532,22-August-2023,Journal not adhering to Best practice
European Quarterly of Political Attitudes and Mentalities,2285-4916,22-August-2023,Ceased publishing
Genetika,0534-0012,15-August-2023,Journal not adhering to Best practice
ICTACT Journal on Microelectronics,2395-1680,14-August-2023,Journal not adhering to Best practice
Journal of Disaster and Emergency Research,2588-6150,4-August-2023,Ceased publishing
Education Reform Journal ,2602-3997,4-August-2023,Journal not adhering to Best practice
Journal of ETA Maritime Science,2148-9386,1-August-2023,Journal not adhering to Best practice
Italian Antitrust Review,2284-3272,31-July-2023,Web site URL no longer works
Progress in Natural Science: Materials International ,1002-0071,24-July-2023,Journal is no longer Open Access
Jurnal Perikanan Universitas Gadjah Mada ,2502-5066,19-July-2023,Journal not adhering to Best practice
IJHCM: International Journal of Human Capital Management,2580-9164,19-July-2023,Journal not adhering to Best practice
Jurnal Online Ekonomi dan Pendidikan ,2252-8490,19-July-2023,Journal not adhering to Best practice
Jurnal Ilmiah Akuntansi dan Keuangan ,2580-510X,19-July-2023,Journal not adhering to Best practice
Journal of Carcinogenesis,1477-3163,17-July-2023,Changed publisher but hasn't supplied new URLs/site
Contributions of Central Research Institute for Agriculture ,2962-9217,13-July-2023,Journal not adhering to Best practice
International Practice Development Journal,2046-9292,11-July-2023,Ceased publishing
"Вестник Волгоградского государственного университета. Серия 4. История, регионоведение, международные отношения",1998-9938,9-July-2023,Journal not adhering to Best practice
Актуальные вопросы пожарной безопасности,2686-8075,7-July-2023,Journal not adhering to Best practice
Biomedicine and Chemical Sciences,2790-296X,6-July-2023,Journal not adhering to Best practice
"Вестник Московского университета: Серия 18, Социология и политология",1029-3736,6-July-2023,Journal not adhering to Best practice
فصلنامه زن و جامعه,2783-3194,4-July-2023,Web site URL no longer works
New Trends in Social and Liberal Sciences,2469-4002,4-July-2023,Journal not adhering to Best practice
Alkimia,2580-9873,2-July-2023,Journal not adhering to Best practice
Вестник Воронежского государственного университета инженерных технологий,2226-910X,29-June-2023,Journal not adhering to Best practice
Вестник Кемеровского государственного университета,2078-8975,25-June-2023,Ceased publishing
Jurnal Perencanaan Wilayah dan Kota,2808-8123,22-June-2023,Journal not adhering to Best practice
Jurnal Kajian Pembaruan Hukum ,2776-9828,21-June-2023,Journal not adhering to Best practice
Journal for the Education of Gifted Young Scientists,2149-360X,21-June-2023,Journal not adhering to Best practice
Journal of Gifted Education and Creativity,2149-1410,21-June-2023,Journal not adhering to Best practice
Journal of Risk and Financial Management,1911-8074,21-June-2023,Journal not adhering to Best practice
Food Science and Technology,0101-2061,21-June-2023,Journal not adhering to Best practice
Macabéa,2316-1663,19-June-2023,Journal not adhering to Best practice
Strategic Trade Review,2406-5269,19-June-2023,Changed publisher but hasn't supplied new URLs/site
Op. Cit.: Revista de Estudos Anglo-Americanos / A Journal of Anglo-American Studies,2182-9446,19-June-2023,Web site URL no longer works
Sciences of Pharmacy ,2830-7259,16-June-2023,Journal not adhering to Best practice
Jurnal Agrosains dan Teknologi ,2528-3278,8-June-2023,Journal not adhering to Best practice
IJFAC (Indonesian Journal of Fundamental and Applied Chemistry) ,2540-9409,8-June-2023,Journal not adhering to Best practice
Agroteknika ,2685-3450,8-June-2023,Journal not adhering to Best practice
Transnational Literature,1836-4845,6-June-2023,Ceased publishing
ISRA International Journal of Islamic Finance,2289-4365,5-June-2023,Journal not adhering to Best practice
Siriraj Medical Journal,2228-8082,5-June-2023,Journal not adhering to Best practice
"Journal of the Institution of Engineers, Malaysia ",0126-513X,5-June-2023,Journal is no longer Open Access
Matrix Science Medica,2521-0424,1-June-2023,Journal not adhering to Best practice
Nephron Extra ,1664-5529,31-May-2023,Ceased publishing
Coatings,2079-6412,30-May-2023,Journal not adhering to Best practice
International Journal of Environmental Research and Public Health,1660-4601,30-May-2023,Journal not adhering to Best practice
Qeios,2632-3834,30-May-2023,Journal not adhering to Best practice
Writing from Below,2202-2546,29-May-2023,Ceased publishing
Open Journal of Mathematical Analysis,2616-8111,29-May-2023,Journal not adhering to Best practice
Open Journal of Mathematical Sciences,2523-0212,29-May-2023,Journal not adhering to Best practice
Engineering and Applied Science Letters,2617-9709,29-May-2023,Journal not adhering to Best practice
Trends in Clinical and Medical Sciences,2791-0814,29-May-2023,Journal not adhering to Best practice
International Journal of Interactive Mobile Technologies,1865-7923,28-May-2023,Journal not adhering to Best practice
International Journal of Online and Biomedical Engineering,2626-8493,28-May-2023,Journal not adhering to Best practice
International Journal of Engineering Pedagogy (iJEP),2192-4880,28-May-2023,Journal not adhering to Best practice
International Journal of Emerging Technologies in Learning (iJET),1863-0383,28-May-2023,Journal not adhering to Best practice
Russian Law Journal,2312-3605,28-May-2023,Web site URL no longer works
"International Journal of Recent Contributions from Engineering, Science & IT",2197-8581,27-May-2023,Ceased publishing
International Journal of Learning Analytics and Artificial Intelligence for Education,2706-7564,27-May-2023,Ceased publishing
Jurnal Informatika: Jurnal Pengembangan IT,2548-9356,27-May-2023,Journal not adhering to Best practice
Revista Estudios Institucionales,2386-8694,26-May-2023,Web site URL no longer works
International Journal of Social Science Research and Review,2700-2497,24-May-2023,Journal not adhering to Best practice
Journal of Maternal and Child Health,2549-0257,22-May-2023,Journal not adhering to Best practice
Journal of Health Promotion and Behavior,2549-1172,22-May-2023,Journal not adhering to Best practice
Indonesian Journal of Law and Society,2722-4074,22-May-2023,Journal not adhering to Best practice
"Santalka: Filosofija, Komunikacija",2029-6339,22-May-2023,Ceased publishing
Frontiers in Heat Pipes,2155-658X,18-May-2023,Journal not adhering to Best practice
Frontiers in Heat and Mass Transfer,2151-8629,18-May-2023,Journal not adhering to Best practice
International Journal of Surgery and Medicine,2367-699X,16-May-2023,Journal not adhering to Best practice
International Journal of Medical Reviews and Case Reports,2534-9821,16-May-2023,Journal not adhering to Best practice
Penelitian Gizi dan Makanan,2338-8358,14-May-2023,Journal not adhering to Best practice
International Journal of Research In Business and Social Science,2147-4478,11-May-2023,Journal not adhering to Best practice
Cardiometry,2304-7232,10-May-2023,Journal not adhering to Best practice
Ekonomska Istraživanja,1331-677X,10-May-2023,Journal not adhering to Best practice
Acta Geodaetica et Cartographica Sinica,1001-1595,9-May-2023,Journal not adhering to Best practice
Cancer Translational Medicine,2395-3012,9-May-2023,Journal not adhering to Best practice
Revista GEINTEC ,2237-0722,5-May-2023,Journal not adhering to Best practice
"Journal of Asian Finance, Economics and Business",2288-4637,4-May-2023,Journal not adhering to Best practice
Dicle Tıp Dergisi,1308-9889,3-May-2023,Journal not adhering to Best practice
Cinema: Journal of Philosophy and the Moving Image,1647-8991,3-May-2023,Web site URL no longer works
The Journal of the Royal College of Physicians of Edinburgh ,2042-8189,2-May-2023,Journal is no longer Open Access
Studii de Biblioteconomie şi Ştiinţa Informării,2392-8107,30-April-2023,Web site URL no longer works
دانش سیاسی,2228-6594,30-April-2023,Web site URL no longer works
Кавказский энтомологический бюллетень,1814-3326,28-April-2023,Journal not adhering to Best practice
"Marwah: Jurnal Perempuan, Agama dan Jender",2407-1587,28-April-2023,Journal not adhering to Best practice
Istrazivanja i projektovanja za privredu,1821-3197,26-April-2023,Journal not adhering to Best practice
FLEKS: Scandinavian Journal of Intercultural Theory and Practice ,1894-5988,25-April-2023,Ceased publishing
Scanning,1932-8745,24-April-2023,Journal not adhering to Best practice
Oxidative Medicine and Cellular Longevity,1942-0994,24-April-2023,Journal not adhering to Best practice
Journal of Nanomaterials,1687-4129,24-April-2023,Journal not adhering to Best practice
Journal of Oncology,1687-8469,24-April-2023,Journal not adhering to Best practice
International Journal of Educational Methodology,2469-9632,24-April-2023,Journal not adhering to Best practice
European Journal of Educational Research,2165-8714,24-April-2023,Journal not adhering to Best practice
Water Conservation and Management,2523-5672,20-April-2023,Changed publisher but hasn't supplied new URLs/site
"International Journal of Agriculture, Environment and Food Sciences",2618-5946,12-April-2023,Journal not adhering to Best practice
Blend Sains Jurnal Teknik,2964-7347,12-April-2023,Journal not adhering to Best practice
Jurnal Inovasi Pendidikan Dasar,2477-3859,12-April-2023,Web site URL no longer works
Neuroanatomy and Behaviour ,2652-1768,11-April-2023,Ceased publishing
Jurnal Ekonomi dan Bisnis Digital,2827-8259,6-April-2023,Journal not adhering to Best practice
Indonesian Journal of Business Analytics,2808-0718,6-April-2023,Journal not adhering to Best practice
Jurnal Multidisplin Madan,2808-5639,6-April-2023,Journal not adhering to Best practice
آموزش و ارزشیابی,2476-5627,4-April-2023,Web site URL no longer works
Journal of History and Future,2458-7672,29-March-2023,Journal not adhering to Best practice
International Journal of Engineering and Geosciences,2548-0960,28-March-2023,Journal not adhering to Best practice
Geomatik,2564-6761,28-March-2023,Journal not adhering to Best practice
Journal of Research for Consumers,1444-6359,28-March-2023,Ceased publishing
Edukacja Etyczna,2083-8972,27-March-2023,Web site URL no longer works
Electronic Journal of Information Technology,1114-8802,25-March-2023,Web site URL no longer works
Institutul de Cercetări Socio-Umane „C.S. Nicolăescu-Plopșor”,1841-0898,24-March-2023,Journal not adhering to Best practice
Economic Consultant,2686-9012,24-March-2023,Journal not adhering to Best practice
مجلة بحوث الإدارة والاقتصاد,2710-8856,24-March-2023,Ceased publishing
BioMed Research International,2314-6133,23-March-2023,Journal not adhering to Best practice
"International Journal of Environmental, Sustainability, and Social Science",2720-9644,23-March-2023,Journal not adhering to Best practice
Journal of Foreign Language Education and Technology ,2536-4731,23-March-2023,Journal not adhering to Best practice
Integrated Healthcare Journal,2399-5351,23-March-2023,Ceased publishing
Зерновое хозяйство России,2079-8725,22-March-2023,Website URL no longer works
Jurnal Manajemen Pendidikan dan Ilmu Sosial,2716-375X,23-March-2023,Journal not adhering to Best practice
Jurnal Ekonomi Manajemen Sistem Informasi,2686-5238,21-March-2023,Journal not adhering to Best practice
"Dinasti International Journal of Economics, Finance & Accounting",2721-303X,21-March-2023,Journal not adhering to Best practice
IOP SciNotes,2633-1357,20-March-2023,Ceased publishing
Ciencia e Innovación en Salud,2344-8636,16-March-2023,Ceased publishing
"Coactivity: Philology, Educology",2335-7711,14-March-2023,Ceased publishing
International Journal of Business and Economic Sciences Applied Research,2408-0101,10-March-2023,Journal not adhering to Best practice
International Journal of Economic Sciences and Applied Research,1791-3373,10-March-2023,Journal not adhering to Best practice
Kazanskij Medicinskij Žurnal,0368-4814,9-March-2023,Journal is no longer Open Access
Coaching | Theorie & Praxis,2364-5148,9-March-2023,Ceased publishing
International Journal of Cyber Criminology,0974-2891,9-March-2023,Journal not adhering to Best practice
Biomedical Journal of Indonesia,2685-0184,8-March-2023,Journal not adhering to Best practice
Bioscientia Medicina: Journal of Biomedicine and Translational Research,2598-0580,8-March-2023,Journal not adhering to Best practice
Natural Sciences Engineering and Technology Journal,2807-2820,8-March-2023,Journal not adhering to Best practice
Indian Journal of Respiratory Care,2321-4899,2-March-2023,Changed publisher 
Eurasian Journal of Pulmonology,2148-5402,2-March-2023,Ceased publishing
Journal of Neurosciences in Rural Practice,0976-3155,1-March-2023,Changed publisher but hasn't supplied new URLs/site
Medicine Science,2147-0634,28-February-2023,Journal not adhering to Best practice
Scientific Programming,1875-919X,23-February-2023,Journal not adhering to Best practice
Mathematical Problems in Engineering,1563-5147,23-February-2023,Journal not adhering to Best practice
Evidence-Based Complementary and Alternative Medicine,1741-4288,23-February-2023,Journal not adhering to Best practice
Российский кардиологический журнал,1560-4071,22-February-2023,Journal not adhering to Best practice
Педиатрическая фармакология,1727-5776,21-February-2023,Journal not adhering to Best practice
Disease Markers,1875-8630,21-February-2023,Journal not adhering to Best practice
Mobile Information Systems,1875-905X,21-February-2023,Journal not adhering to Best practice
Journal of Healthcare Engineering,2040-2309,21-February-2023,Journal not adhering to Best practice
Contrast Media & Molecular Imaging,1555-4317,21-February-2023,Journal not adhering to Best practice
Security and Communication Networks,1939-0122,21-February-2023,Journal not adhering to Best practice
Journal of Sensors,1687-7268,21-February-2023,Journal not adhering to Best practice
Computational and Mathematical Methods in Medicine,1748-6718,21-February-2023,Journal not adhering to Best practice
Computational Intelligence and Neuroscience,1687-5273,21-February-2023,Journal not adhering to Best practice
Journal of Environmental and Public Health,1687-9813,21-February-2023,Journal not adhering to Best practice
Wireless Communications and Mobile Computing,1530-8677,21-February-2023,Journal not adhering to Best practice
Journal of Cardiac Critical Care TSS,2456-9224,21-February-2023,Changed publisher but hasn't supplied new URLs/site
Indian Journal of Cardiovascular Disease in Women,2455-7854,21-February-2023,Changed publisher but hasn't supplied new URLs/site
Journal of Pediatric Sciences,1309-1247,21-February-2023,Ceased publishing
Türk Beyin Damar Hastalıkları Dergisi,2146-9113,20-February-2023,Journal not adhering to Best practice
Voennyi Sbornik ,2409-1707,18-February-2023,Web site URL no longer works
Kasetsart Journal of Social Sciences,2452-3151,17-February-2023,Changed publisher but hasn't supplied new URLs/site
Revue Gestion et Organisation,2214-4234,17-February-2023,Changed publisher but hasn't supplied new URLs/site
Journal of Food and Drug Analysis ,1021-9498,17-February-2023,Changed publisher but hasn't supplied new URLs/site
Current Research in Virological Science,2666-478X,17-February-2023,Ceased publishing
Cytokine: X,2590-1532,17-February-2023,Ceased publishing
NursingPlus Open,2352-9008,17-February-2023,Ceased publishing
Transactions of A. Razmadze Mathematical Institute,2346-8092,17-February-2023,Ceased publishing
Biomolecular Detection and Quantification,2214-7535,17-February-2023,Ceased publishing
Translational Proteomics,2212-9626,17-February-2023,Ceased publishing
Revista Portuguesa de Cardiologia (English Edition),2174-2049,17-February-2023,Ceased publishing
Düzce Üniversitesi Bilim ve Teknoloji Dergisi,2148-2446,14-February-2023,Journal not adhering to Best practice
International Journal of Cardiovascular Practice,2476-7174,14-February-2023,Journal not adhering to Best practice
Gender and the Genome,2470-2897,8-February-2023,Journal not adhering to Best practice
"Journal of Robotics, Networking and Artificial Life (JRNAL)",2352-6386,7-February-2023,Journal not adhering to Best practice
Онкоурология,1726-9776,6-February-2023,Journal is no longer Open Access
Новые технологии,2072-0920,3-February-2023,Journal not adhering to Best practice
"Journal of Vibroengineering
",2538-8460,2-February-2023,Journal not adhering to Best practice
"Journal of Measurements in Engineering
",2424-4635,2-February-2023,Journal not adhering to Best practice
"Mathematical Models in Engineering
",2424-4627,2-February-2023,Journal not adhering to Best practice
"Journal of Complexity in Health Sciences
",2538-8002,2-February-2023,Journal not adhering to Best practice
"Journal of Mechanical Engineering, Automation and Control Systems
",2669-1361,2-February-2023,Journal not adhering to Best practice
"Liquid and Gaseous Energy Resources
",2669-2791,2-February-2023,Journal not adhering to Best practice
Journal of Educational Sciences,1658-7677,1-February-2023,Journal is no longer Open Access
Uluslararası Tarım ve Yaban Hayatı Bilimleri Dergisi,2149-8245,1-February-2023,Journal not adhering to Best practice
Cerrahi Sanatlar Dergisi,1308-0709,31-January-2023,Journal not adhering to Best practice
Sosio Konsepsia: Jurnal Penelitian dan Pengembangan Kesejahteraan Sosial,2502-7921,29-January-2023,Journal not adhering to Best practice
Eksergi,1410-394X,26-January-2023,Journal not adhering to Best practice
Przestrzeń Społeczna,2084-1558,25-January-2023,Journal not adhering to Best practice
International Journal of Innovation in Mechanical Engineering and Advanced Materials,2477-541X,23-January-2023,Journal not adhering to Best practice
European Journal of Education and Psychology,1989-2209,22-January-2023,Web site URL no longer works
Relaţii Internaţionale Plus,2587-3393,22-January-2023,Ceased publishing
Indonesian Language Education and Literature,2502-2261,20-January-2023,Journal not adhering to Best practice
