JournalID,JournalTitle,Publisher,eissn,pissn,additionalIssns
10998,Journal of Carcinogenesis,Ovid Technologies (Wolters Kluwer) - Medknow Publications,1477-3163,0974-6773,
12681,D-Lib Magazine,Corporation for National Research Initiatives,1082-9873,,
14936,Chinese Science Bulletin,Springer-Verlag,1861-9541,1001-6538,
16216,Progress in Natural Science Materials International,Elsevier,1745-5391,1002-0071,
17676,Genetic Vaccines and Therapy,Springer (Biomed Central Ltd.),1479-0556,1479-0556,
17962,Mathematical Problems in Engineering,Hindawi Limited,1563-5147,1024-123X,
22237,Provincial China,Informa UK (Taylor & Francis),1476-7104,1326-7612,
22337,European Journal of Cancer Supplements,Elsevier,,1359-6349,
22377,Proceedings of the American Thoracic Society,American Thoracic Society,1943-5665,1546-3222,
24460,Gynecological Surgery,Springer-Verlag,1613-2084,1613-2076,
25517,Optics Express,Optica Publishing Group,1094-4087,,
26319,Journal of Applied Mathematics and Stochastic Analysis,Hindawi Limited,1687-2177,1048-9533,
28158,Evidence-based Complementary and Alternative Medicine,Hindawi Limited,1741-4288,1741-427X,
28198,Theoretical Biology and Medical Modelling,Springer (Biomed Central Ltd.),1742-4682,1742-4682,
31077,Journal of Physics Conference Series,IOP Publishing,1742-6596,1742-6588,
33558,The Journal of Rehabilitation Research and Development,Journal of Rehabilitation Research & Development,1938-1352,0748-7711,
35458,Molecular Medicine,Springer (Biomed Central Ltd.),1528-3658,1076-1551,
36698,Journal of the Meteorological Society of Japan Ser II,Meteorological Society of Japan,2186-9057,0026-1165,2186-9049
37859,SOLA,Meteorological Society of Japan,1349-6476,,
39218,Bulletin of the American Society for Information Science and Technology,Wiley (John Wiley & Sons),1550-8366,0095-4403,
44478,Logistics Journal nicht-referierte Veröffentlichungen,Fraunhofer-Institut fur Materialfluss und Logistik,1860-5923,1860-5923,
44719,Chiropractic & Osteopathy,Springer (Biomed Central Ltd.),1746-1340,1746-1340,
45000,Arquivos Brasileiros de Oftalmologia,GN1 Sistemas e Publicacoes Ltd.,0004-2749,0004-2749,
45058,Alea Estudos Neolatinos,SciELO,1517-106X,1517-106X,1807-0299
45123,The Brazilian Journal of Infectious Diseases,Elsevier,,1413-8670,
45138,Brazilian Journal of Plant Physiology,SciELO,1677-0420,1677-0420,
45139,Brazilian Journal of Physics,Springer-Verlag,0103-9733,0103-9733,1678-4448
45358,Computational and Applied Mathematics,Springer-Verlag,1807-0302,0101-8205,2238-3603
45359,Cadernos CEDES,SciELO,0101-3262,0101-3262,1678-7110
45368,Estudos de Psicologia (Natal),Agência Rivera,1413-294X,1413-294X,1678-4669
45378,Cadernos de Pesquisa,SciELO,0100-1574,0100-1574,1980-5314
45379,Ciência & Saúde Coletiva,SciELO,1413-8123,1413-8123,1678-4561
45600,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer-Verlag,1678-5878,1678-5878,1806-3691
45603,Jornal de Pneumologia,SciELO,0102-3586,0102-3586,1678-4642
45604,Lua Nova Revista de Cultura e Política,SciELO,0102-6445,0102-6445,1807-0175
45682,Opinião Pública,SciELO,0104-6276,0104-6276,1807-0191
45702,Pesquisa Odontológica Brasileira,SciELO,1517-7491,1517-7491,
45707,Revista da Associação Médica Brasileira,SciELO,1806-9282,0104-4230,
45713,Brazilian Journal of Cardiovascular Surgery,Sociedade Brasileira de Cirurgia Cardiovascular,1678-9741,0102-7638,
45714,Revista Brasileira de Ciências Sociais,SciELO,1806-9053,0102-6909,
45720,Revista Brasileira de Engenharia Agrícola e Ambiental,SciELO,1415-4366,1415-4366,1807-1929
45724,Revista Brasileira de Economia,GN1 Sistemas e Publicacoes Ltd.,0034-7140,0034-7140,1806-9134
45733,Revista Brasileira de Otorrinolaringologia,SciELO,0034-7299,0034-7299,
45737,Radiologia Brasileira,SciELO,1678-7099,0100-3984,
45738,Revista Brasileira de Zoologia,SciELO,1806-969X,0101-8175,
45740,Rem Revista Escola de Minas,SciELO,1807-0353,0370-4467,
45741,Revista da Faculdade de Educação,SciELO,0102-2555,0102-2555,
45762,Revista do Hospital das Clínicas,SciELO,0041-8781,0041-8781,
45763,Revista do Instituto de Medicina Tropical de São Paulo,SciELO,0036-4665,0036-4665,1678-9946
45765,Revista de Microbiologia,SciELO,0001-3714,0001-3714,
45766,Revista de Nutrição,SciELO,1415-5273,1415-5273,1678-9865
45778,Revista de Odontologia da Universidade de São Paulo,SciELO,0103-0663,0103-0663,
45780,Revista de Psiquiatria do Rio Grande do Sul,SciELO,0101-8108,0101-8108,
45781,Revista de Sociologia e Política,SciELO,1678-9873,0104-4478,
45802,São Paulo em Perspectiva,SciELO,0102-8839,0102-8839,1413-7704
45900,Clinical Practice and Epidemiology in Mental Health,Bentham Science,1745-0179,1745-0179,
46124,Educação e Pesquisa,SciELO,1517-9702,1517-9702,1678-4634
46127,Memórias do Instituto Oswaldo Cruz,SciELO,0074-0276,0074-0276,1678-8060
46371,The Canadian Journal of Sociology,University of Alberta Libraries,1710-1123,0318-6431,
46779,STRUCTURAL ENGINEERING / EARTHQUAKE ENGINEERING,Japan Society of Civil Engineers,1882-3424,0289-8063,
50019,Biodiversity Science,Biodiversity Science,,1005-0094,
50101,Cough,Springer (Biomed Central Ltd.),1745-9974,1745-9974,
50202,EURASIP Journal on Embedded Systems,Springer (Biomed Central Ltd.),1687-3963,1687-3955,
52258,Mars,Mars Informatics,1548-1921,1548-1921,
52340,EURASIP Journal on Bioinformatics and Systems Biology,Springer (Biomed Central Ltd.),1687-4153,1687-4145,
52539,Biomedical Imaging and Intervention Journal,"Department of Biomedical Imaging, University of Malaya",1823-5530,1823-5530,
52798,Proceedings of the Japan Academy Series B,The Japan Academy,1349-2896,0386-2208,
53238,Ágora Estudos em Teoria Psicanalítica,SciELO,1809-4414,1516-1498,
53240,Food Science and Technology,Zeppelini Editorial e Comunicacao,1678-457X,0101-2061,
53242,Physis Revista de Saúde Coletiva,SciELO,0103-7331,0103-7331,1809-4481
53243,Revista do Colégio Brasileiro de Cirurgiões,SciELO,0100-6991,0100-6991,1809-4546
53247,Horticultura Brasileira,SciELO,0102-0536,0102-0536,1806-9991
53248,Engenharia Sanitaria e Ambiental,SciELO,1413-4152,1413-4152,1809-4457
53250,Psicologia Teoria e Pesquisa,SciELO,1806-3446,0102-3772,
53251,Pesquisa Veterinária Brasileira,SciELO,0100-736X,0100-736X,1678-5150
53946,Contrast Media & Molecular Imaging,Hindawi Limited,1555-4317,1555-4309,
54599,Acta Geophysica,Springer-Verlag,1895-7455,1895-6572,
55073,Bioinorganic Chemistry and Applications,Hindawi Limited,1687-479X,1565-3633,
55075,Journal of Nanomaterials,Hindawi Limited,1687-4129,1687-4110,
55512,Novos Estudos - CEBRAP,Novos Estudos - CEBRAP,0101-3300,0101-3300,1980-5403
55513,Production,SciELO,0103-6513,0103-6513,1980-5411
55731,Revista Brasileira de Ciências Farmacêuticas,SciELO,1516-9332,1516-9332,
55732,Economia Aplicada,Universidade de São Paulo. Agência de Bibliotecas e Coleções Digitais,1413-8050,1413-8050,1980-5330
55734,Revista Dental Press de Ortodontia e Ortopedia Facial,SciELO,1415-5419,1415-5419,
55911,Revista Brasileira de Ci?ncias Farmac?uticas,SciELO,,1516-9332,
55969,International Journal of Nanomedicine,Dove Medical Press,1178-2013,1176-9114,
56830,PPAR Research,Hindawi Limited,1687-4765,1687-4757,
57487,Science China Life Sciences,Springer-Verlag,1869-1889,1674-7305,1006-9305; 1862-2798
57543,Medicinski pregled,National Library of Serbia,1820-7383,0025-8105,
57807,Revista do Departamento de Psicologia UFF,SciELO,0104-8023,0104-8023,
57949,Revista de Economia Contemporânea,SciELO,1415-9848,1415-9848,1980-5527
58848,Estudos Econômicos (São Paulo),SciELO,0101-4161,0101-4161,1980-5357
58849,Revista Brasileira de Coloproctologia,SciELO,0101-9880,0101-9880,
58890,Biointerphases,American Institute of Physics,1559-4106,1934-8630,
59149,Source Code for Biology and Medicine,Springer (Biomed Central Ltd.),1751-0473,1751-0473,
59349,Psicologia Clínica,Revista Psicologia Clinica,0103-5665,0103-5665,1980-5438
59628,Brazilian Journal of Physical Therapy,Elsevier,1413-3555,1413-3555,1809-9246
59781,Revista Mexicana de Sociología,Universidad Nacional Autonoma de Mexico,,0188-2503,
59812,Journal of Molecular Signaling,Journal of Molecular Signaling,1750-2187,1750-2187,
59928,Acta Veterinaria Brno,University of Veterinary Sciences Brno,1801-7576,0001-7213,
59987,Strategies in Trauma and Limb Reconstruction,Jaypee Brothers Medical Publishing,1828-8928,1828-8936,
60071,Bioscience Education,Informa UK (Taylor & Francis),1479-7860,,
60309,Ukrainian Journal of Physical Optics,Institute of Physical Optics,1816-2002,1609-1833,
60777,BMC Systems Biology,Springer (Biomed Central Ltd.),1752-0509,1752-0509,
61195,Journal of FisheriesSciences com,Scitechnol Biosoft Pvt. Ltd (OMICS),1307-234X,,
62512,Annals of Surgical Innovation and Research,Springer (Biomed Central Ltd.),1750-1164,1750-1164,
62572,Studies in Mycology,Westerdijk Fungal Biodiversity Institute,1872-9797,0166-0616,
62730,Scanning,Hindawi Limited,1932-8745,0161-0457,
62950,Experimental Diabetes Research,Hindawi Limited,1687-5303,1687-5214,
63188,Pramana,Springer-Verlag,0973-7111,0304-4289,
63330,Frontiers of Business Research in China,Springer-Verlag,1673-7431,1673-7326,
63526,Mineralogia,De Gruyter Poland Sp. z o.o.,1899-8526,0032-6267,1899-8291
63529,Acta Pharmaceutica,De Gruyter Poland Sp. z o.o.,1846-9558,1330-0075,
63638,Plant Root,Japanese Society for Root Research,1881-6754,,
63896,Bulletin of Materials Science,Springer-Verlag,0973-7669,0250-4707,
64175,Advances in OptoElectronics,Hindawi Limited,1687-5648,1687-563X,
64216,Journal of Biosciences,Springer-Verlag,0973-7138,0250-5991,
64221,Journal of Earth System Science,Springer-Verlag,0973-774X,0253-4126,2347-4327
64253,Journal of Astrophysics and Astronomy,Springer-Verlag,0973-7758,0250-6335,
65284,Computational and Mathematical Methods in Medicine,Hindawi Limited,1748-6718,1748-670X,
65368,Journal of the Renin-Angiotensin-Aldosterone System,SAGE Publications,1752-8976,1470-3203,
65376,Wildlife Biology in Practice,SPVS - Sociedade Portuguesa de Vida Selvagem,1646-2742,1646-1509,
65702,Chinese Journal of Aeronautics,Elsevier,,1000-9361,
66426,Clinical Medicine & Research,Marshfield Clinic Research Foundation,1554-6179,1539-4182,
66654,Computational Intelligence and Neuroscience,Hindawi Limited,1687-5273,1687-5265,
67719,Sadhana,Springer-Verlag,0973-7677,0256-2499,
67817,Journal of Genetics,Springer-Verlag,0973-7731,0022-1333,
68054,Diagnostic and Therapeutic Endoscopy,Hindawi Limited,1029-0516,1070-3608,
68234,HPB Surgery,Hindawi Limited,1607-8462,0894-8569,
68235,Research Letters in Physical Chemistry,Hindawi Limited,1687-6881,1687-6873,
68289,Hong Kong Journal of Nephrology,Elsevier,,1561-5413,
68295,Journal of the Chinese Medical Association,Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,1726-4901,1726-4901,1728-7731
68794,Statistics Surveys,Institute of Mathematical Statistics,,1935-7516,
68878,Research Letters in Materials Science,Hindawi Limited,1687-6830,1687-6822,
68942,Neotropical Ichthyology,SciELO,1679-6225,1679-6225,1982-0224
68946,Revista Brasileira de Farmacognosia,Springer-Verlag,0102-695X,0102-695X,
68950,Revista da Escola de Enfermagem da USP,SciELO,1980-220X,0080-6234,
69154,Hygiea Internationalis An Interdisciplinary Journal for the History of Public Health,Linkoping University Electronic Press,1404-4013,1403-8668,
69676,Tethys Journal of Weather and Climate of the Western Mediterranean,Associació Catalana de Meteorologia (ACAM),1139-3394,1697-1523,
69754,Research Letters in Communications,Hindawi Limited,1687-675X,1687-6741,
69897,Research Letters in Ecology,Hindawi Limited,1687-6776,1687-6768,
69898,Research Letters in Signal Processing,Hindawi Limited,1687-692X,1687-6911,
69902,Journal of Sensors,Hindawi Limited,1687-7268,1687-725X,
70038,Facta universitatis - series Physics Chemistry and Technology,National Library of Serbia,2406-0879,0354-4656,
70101,Interações (Campo Grande),Universidade Catolica Dom Bosco,1984-042X,1518-7012,
70201,Journal of Trauma Management & Outcomes,Springer (Biomed Central Ltd.),1752-2897,1752-2897,
70219,Health and Human Rights,JSTOR,1079-0969,1079-0969,
70240,Zbornik radova Vizantoloskog instituta,National Library of Serbia,2406-0917,0584-9888,
70247,Bulletin Classe des sciences mathematiques et natturalles,National Library of Serbia,,0561-7332,
70383,The Open Respiratory Medicine Journal,Bentham Science,,1874-3064,
70384,The Open Rheumatology Journal,Bentham Science,,1874-3129,
70387,The Open Pharmacology Journal,Bentham Science,,1874-1436,
70388,The Open Pediatric Medicine Journal,Bentham Science,,1874-3099,
70391,The Open Otorhinolaryngology Journal,Bentham Science,,1874-4281,
70392,The Open Orthopaedics Journal,Bentham Science,,1874-3250,
70395,The Open Ophthalmology Journal,Bentham Science,,1874-3641,
70399,The Open Neuroimaging Journal,Bentham Science,,1874-4400,
70401,The Open Neurology Journal,Bentham Science,,1874-205X,
70403,The Open Mycology Journal,Bentham Science,,1874-4370,
70404,The Open Materials Science Journal,Bentham Science,,1874-088X,
70406,The Open Medical Imaging Journal,Bentham Science,,1874-3471,
70407,The Open Microbiology Journal,Bentham Science,,1874-2858,
70408,The Open Mechanical Engineering Journal,Bentham Science,,1874-155X,
70416,The Open Geology Journal,Bentham Science,,1874-2629,
70417,The Open Food Science Journal,Bentham Science,,1874-2564,
70419,The Open Entomology Journal,Bentham Science,,1874-4079,
70420,The Open Endocrinology Journal,Bentham Science,,1874-2165,
70421,The Open Dermatology Journal,Bentham Science,,1874-3722,
70422,The Open Dentistry Journal,Bentham Science,,1874-2106,
70424,The Open Cybernetics & Systemics Journal,Bentham Science,,1874-110X,
70425,The Open Cardiovascular Medicine Journal,Bentham Science,,1874-1924,
70427,The Open Civil Engineering Journal,Bentham Science,,1874-1495,
70430,The Open Behavioral Science Journal,Bentham Science,,1874-2300,
70432,The Open Biochemistry Journal,Bentham Science,,1874-091X,
70433,The Open Biomedical Engineering Journal,Bentham Science,,1874-1207,
70434,The Open Anesthesiology Journal,Bentham Science,,1874-3218,
70435,The Open Agriculture Journal,Bentham Science,,1874-3315,
70436,The Open Atmospheric Science Journal,Bentham Science,,1874-2823,
70437,The Open AIDS Journal,Bentham Science,,1874-6136,
70438,The Open Analytical Chemistry Journal,Bentham Science,,1874-0650,
70439,The Open Transportation Journal,Bentham Science,,1874-4478,
70441,The Open Virology Journal,Bentham Science,,1874-3579,
70442,The Open Veterinary Science Journal,Bentham Science,,1874-3188,
70443,The Open Women s Health Journal,Bentham Science,,1874-2912,
70540,Current Oncology,MDPI AG,1198-0052,1198-0052,1718-7729
70598,Annales de Toxicologie Analytique,EDP Sciences,1961-9480,0768-598X,0996-8423
71198,The Open Electrical & Electronic Engineering Journal,Bentham Science,,1874-1290,
71199,The Open Infectious Diseases Journal,Bentham Science,,1874-2793,
71202,The Open Nutrition Journal,Bentham Science,,1874-2882,
71203,The Open Marine Biology Journal,Bentham Science,,1874-4508,
71204,The Open Macromolecules Journal,Bentham Science,,1874-3439,
71205,The Open Hydrology Journal,Bentham Science,,1874-3781,
71209,The Open Communication Journal,Bentham Science,,1874-916X,
71210,The Open Bioinformatics Journal,Bentham Science,,1875-0362,
71211,The Open Construction and Building Technology Journal,Bentham Science,,1874-8368,
71215,The Open Sports Medicine Journal,Bentham Science,,1874-3870,
71338,African Zoology,Informa UK (Taylor & Francis),2224-073X,1562-7020,
71938,The Open Sleep Journal,Bentham Science,,1874-6209,
71941,The Open Immunology Journal,Bentham Science,,1874-2262,
71943,The Open Biology Journal,Bentham Science,,1874-1967,
72038,International Journal of Navigation and Observation,Hindawi Limited,1687-6008,1687-5990,
72280,Security and Communication Networks,Hindawi Limited,1939-0122,1939-0114,
72588,The Open Energy & Fuels Journal,Bentham Science,,1874-2483,
72591,The Open Ornithology Journal,Bentham Science,,1874-4532,
72592,The Open Clinical Chemistry Journal,Bentham Science,,1874-2416,
72593,The Open Political Science Journal,Bentham Science,,1874-9496,
72620,Advances in Optical Technologies,Hindawi Limited,1687-6407,1687-6393,
72621,International Journal of Power Management Electronics,Hindawi Limited,1687-6687,1687-6679,
72622,Research Letters in Nanotechnology,Hindawi Limited,1687-6857,1687-6849,
72740,The Open Urology & Nephrology Journal,Bentham Science,,1874-303X,
72743,The Open Forensic Science Journal,Bentham Science,,1874-4028,
72744,The Open Medical Informatics Journal,Bentham Science,,1874-4311,
72820,Journal of Curriculum and Instruction,East Carolina University,1937-3929,1937-3929,
73218,Advances in Acoustics and Vibration,Hindawi Limited,1687-627X,1687-6261,
73441,Theoretical and Applied Mechanics,National Library of Serbia,2406-0925,1450-5584,
73518,Bioscience Horizons The International Journal of Student Research,Oxford University Press,1754-7431,,
73658,The Open Acoustics Journal,Bentham Science,,1874-8376,
73659,The Open Psychology Journal,Bentham Science,,1874-3501,
73661,The Open Fish Science Journal,Bentham Science,,1874-401X,
73662,The Open Astronomy Journal,Bentham Science,,1874-3811,
73684,Proceedings - Mathematical Sciences,Springer-Verlag,0973-7685,0253-4142,
73701,BMC Medical Physics,Springer (Biomed Central Ltd.),1756-6649,1756-6649,
73818,The Open Rehabilitation Journal,Bentham Science,,1874-9437,
73820,The Open Sports Sciences Journal,Bentham Science,,1875-399X,
73821,The Open Ecology Journal,Bentham Science,,1874-2130,
73822,The Open Zoology Journal,Bentham Science,,1874-3366,
73979,The Open Tissue Engineering and Regenerative Medicine Journal,Bentham Science,,1875-0435,
73980,The Ergonomics Open Journal,Bentham Science,,1875-9343,
73982,The Open Public Health Journal,Bentham Science,,1874-9445,
74362,Research Letters in Biochemistry,Hindawi Limited,1687-6717,1687-6709,
74482,Advances in Medical Sciences,Elsevier,1898-4002,1896-1126,
74601,International Archives of Medicine,International Medical Publisher (Fundacion de Neurociencias),1755-7682,1755-7682,
74619,The Open Forest Science Journal,Bentham Science,,1874-3986,
74621,The Open Petroleum Engineering Journal,Bentham Science,,1874-8341,
74624,The Open Education Journal,Bentham Science,,1874-9208,
74626,Research Letters in Optics,Hindawi Limited,1687-8183,1687-8175,
74778,X-Ray Optics and Instrumentation,Hindawi Limited,1687-7640,1687-7632,
74862,Journal of e-Media Studies,Dartmouth College Library Press,1938-6060,,
74948,Emerging Health Threats Journal,Informa UK (Taylor & Francis),1752-8550,,
74958,International Journal of Molecular Sciences,MDPI AG,1422-0067,,
74981,Balkan Journal of Medical Genetics,De Gruyter Poland Sp. z o.o.,1311-0160,1311-0160,
74982,Hacquetia,De Gruyter Poland Sp. z o.o.,1854-9829,1581-4661,
74984,Linguistica Pragensia,Portico,0862-8432,,
74989,Journal of Water and Land Development,Polish Academy of Sciences Chancellery,2083-4535,1429-7426,
74994,Polish Journal of Surgery,Index Copernicus International,0032-373X,0032-373X,2299-2847
74999,Vegetable Crops Research Bulletin,De Gruyter Poland Sp. z o.o.,1898-7761,1506-9427,
75099,Research Letters in Electronics,Hindawi Limited,1687-6792,1687-6784,
75146,Advances in Artificial Intelligence,Hindawi Limited,1687-7489,1687-7470,
75155,Research Letters in Inorganic Chemistry,Hindawi Limited,1687-6814,1687-6806,
75156,Research Letters in Organic Chemistry,Hindawi Limited,1687-6938,1687-6865,
75157,JOURNAL OF INFRARED AND MILLIMETER WAVES,China Science Publishing & Media Ltd.,,1001-9014,
75379,Tropical Plant Pathology,Springer-Verlag,1982-5676,,
75384,IOP Conference Series Earth and Environmental Science,IOP Publishing,1755-1315,1755-1307,
75639,The Open Applied Physics Journal,Bentham Science,,1874-1835,
75645,Journal of Epithelial Biology & Pharmacology,Bentham Science,,1875-0443,
75646,The Open Epidemiology Journal,Bentham Science,,1874-2971,
75647,The Open Allergy Journal,Bentham Science,1874-8384,1874-8384,
75648,The Open Addiction Journal,Bentham Science,,1874-9410,
75650,Current Chemical Genomics,Bentham Science,,1875-3973,
75651,The Open Environmental Engineering Journal,Bentham Science,,1874-8295,
76025,The Open Ocean Engineering Journal,Bentham Science,,1874-835X,
76181,International Journal of Environmental Research and Public Health,MDPI AG,1660-4601,,
76242,Advances in Bioinformatics,Hindawi Limited,1687-8035,1687-8027,
76381,Applicable Analysis and Discrete Mathematics,National Library of Serbia,2406-100X,1452-8630,
76440,Genetika,National Library of Serbia,1820-6069,0534-0012,
76583,Kritika Kultura,PhilJOL,,1656-152X,
76718,Sociologija,National Library of Serbia,2406-0712,0038-0318,
76920,Frontiers in Neuroengineering,Frontiers Media SA,1662-6443,1662-6443,
76978,Open Longevity Science,Bentham Science,,1876-326X,
77060,Facta universitatis - series Architecture and Civil Engineering,National Library of Serbia,2406-0860,0354-4605,
77098,iForest - Biogeosciences and Forestry,SISEF,1971-7458,1971-7458,
77118,Nucleus,Fundacao Educational de Ituverava,1982-2278,1678-6602,
77326,International Journal of Gerontology,"Airiti Press, Inc.",,1873-9598,
77498,Journal of Oncology,Hindawi Limited,1687-8469,1687-8450,
78219,Advances in Materials Science,De Gruyter Poland Sp. z o.o.,2083-4799,1730-2439,
78300,The Open Geography Journal,Bentham Science,,1874-9232,
78388,Materials,MDPI AG,1996-1944,,
78639,Pesquisa Brasileira em Odontopediatria e Clínica Integrada,SciELO,1983-4632,1519-0501,
78658,Fibrogenesis & Tissue Repair,Springer (Biomed Central Ltd.),1755-1536,1755-1536,
78678,The Open Fuels & Energy Science Journal,Bentham Science,,1876-973X,
78902,Gastroenterology Research,"Elmer Press, Inc.",1918-2813,1918-2805,
79203,The Open Waste Management Journal,Bentham Science,,1876-4002,
79210,The Open Cardiovascular and Thoracic Surgery Journal,Bentham Science,,1876-5335,
79518,International Journal of Advanced Corporate Learning (iJAC),International Association of Online Engineering,1867-5565,,
79699,International Journal of Online Engineering (iJOE),International Association of Online Engineering,1861-2121,1868-1646,
79720,Human Genomics and Proteomics,Portico,1757-4242,1757-4242,
79759,The Open Plasma Physics Journal,Bentham Science,,1876-5343,
79760,The Open Nutraceuticals Journal,Bentham Science,,1876-3960,
79761,The Open Atherosclerosis & Thrombosis Journal,Bentham Science,,1876-5068,
79763,The Open Catalysis Journal,Bentham Science,,1876-214X,
79820,Advances in Physical Chemistry,Hindawi Limited,1687-7993,1687-7985,
79841,Journal of Medical Ultrasound,Ovid Technologies (Wolters Kluwer) - Medknow Publications,2212-1552,0929-6441,
79918,International Journal of Emerging Technologies in Learning (iJET),International Association of Online Engineering,1863-0383,1868-8799,
79981,The Open Renewable Energy Journal,Bentham Science,,1876-3871,
79982,The Open Pain Journal,Bentham Science,,1876-3863,
79983,The Open Colorectal Cancer Journal,Bentham Science,,1876-8202,
80059,African Journal of Urology,Springer (Biomed Central Ltd.),1961-9987,1110-5704,
80078,Journal of Automatic Control,National Library of Serbia,2406-0984,1450-9903,
80178,International Journal of Pediatric Endocrinology,Springer (Biomed Central Ltd.),1687-9856,1687-9848,
80218,Australasian Medical Journal,Scitechnol Biosoft Pvt. Ltd (OMICS),1836-1935,1836-1935,
80339,BASE - Revista de Administração e Contabilidade da Unisinos,Universidade do Vale do Rio Dos Sinos - UNISINOS,1984-8196,1807-054X,
80340,BIORISK – Biodiversity and Ecosystem Risk Assessment,Pensoft Publishers,1313-2652,1313-2644,
80519,Identity in the Information Society,Springer-Verlag,1876-0678,,
80540,Optics and Photonics Letters,World Scientific,1793-7140,1793-5288,
80639,Verso e Reverso,Universidade do Vale do Rio Dos Sinos - UNISINOS,1806-6925,,
80659,International Journal of Spectroscopy,Hindawi Limited,1687-9457,1687-9449,
80723,The Open Diabetes Journal,Bentham Science,,1876-5246,
80944,The Open Circulation & Vascular Journal,Bentham Science,,1877-3826,
80987,Farmacia Hospitalaria,Elsevier,,1130-6343,
81058,International Journal of Otolaryngology,Hindawi Limited,1687-921X,1687-9201,
81223,Journal of Clinical Medicine Research,"Elmer Press, Inc.",1918-3011,1918-3003,
81258,International Journal of Interactive Mobile Technologies (iJIM),International Association of Online Engineering,1865-7923,,
81300,Theory of Computing,Theory of Computing Exchange,1557-2862,,
81541,The Open Spine Journal,Bentham Science,,1876-5327,
81542,The Open Numerical Methods Journal,Bentham Science,,1876-3898,
81545,The Open Breast Cancer Journal,Bentham Science,,1876-8172,
81758,IPSJ Transactions on Computer Vision and Applications,Springer (Biomed Central Ltd.),1882-6695,,
81838,Journal of Postgraduate Medicine,Ovid Technologies (Wolters Kluwer) - Medknow Publications,0972-2823,0022-3859,
82122,IOP Conference Series Materials Science and Engineering,IOP Publishing,1757-899X,1757-8981,
82258,Neurology India,Ovid Technologies (Wolters Kluwer) - Medknow Publications,1998-4022,0028-3886,
82259,Indian Journal of Dermatology Venereology and Leprology,Scientific Scholar,0378-6323,0378-6323,0973-3922
82360,Asian Journal of Pharmaceutics,BRNSS Publication Hub,1998-409X,0973-8398,
82400,Hepatitis B Annual,Ovid Technologies (Wolters Kluwer) - Medknow Publications,,0972-9747,
82402,Indian Journal of Cancer,Ovid Technologies (Wolters Kluwer) - Medknow Publications,1998-4774,0019-509X,
82419,The Open Surface Science Journal,Bentham Science,,1876-5319,
82420,The Open Obesity Journal,Bentham Science,,1876-8237,
82421,The Open Environmental Pollution & Toxicology Journal,Bentham Science,,1876-3979,
82422,The Open Electrochemistry Journal,Bentham Science,,1876-505X,
82445,Indian Journal of Critical Care Medicine,Jaypee Brothers Medical Publishing,1998-359X,0972-5229,
82447,Indian Journal of Human Genetics,CLOCKSS Archive,,0971-6866,
82449,Indian Journal of Medical Sciences,Scientific Scholar,1998-3654,0019-5359,
82451,Indian Journal of Nephrology,Scientific Scholar,1998-3662,0971-4065,
82454,Indian Journal of Orthopaedics,Springer (Biomed Central Ltd.),1998-3727,0019-5413,
82466,Indian Journal of Pathology and Microbiology,Ovid Technologies (Wolters Kluwer) - Medknow Publications,0974-5130,0377-4929,
