,,This data is licensed with a CC BY-SA 4.0 license as per DOAJ's Terms and conditions of use,
Materials,1996-1944,22-November-2024,Journal not adhering to best practice
Polymers,2073-4360,22-November-2024,Journal not adhering to best practice
Water,2073-4441,22-November-2024,Journal not adhering to best practice
Revista de la Universidad del Zulia,2665-0428,21-November-2024,Journal not adhering to best practice
"Journal of Nepal Health Research Council
",1999-6217,20-November-2024,Journal not adhering to best practice
New Trends in Qualitative Research,2184-7770,20-November-2024,Journal not adhering to best practice
Carbon Research,2731-6696,20-November-2024,Journal not adhering to best practice
Frontiers in Health Informatics,2676-7104,20-November-2024,Journal not adhering to best practice
Memorabilia: Boletín de Literatura Sapiencial Medieval,1579-7341,18-November-2024,Journal not adhering to best practice
Luz,1814-151X,17-November-2024,Website URL no longer works
Research and Innovation in Language Learning,2615-4137,17-November-2024,Website URL no longer works
Edusol,1729-8091,17-November-2024,Website URL no longer works
Journal of Health and Social Sciences,2499-2240,16-November-2024,Journal not adhering to best practice
Jurnal Mudarrisuna: Media Kajian Pendidikan Agama Islam,2460-0733,13-November-2024,Journal not adhering to best practice
Ankara Üniversitesi Sosyal Bilimler Dergisi,2148-3434,13-November-2024,Website URL no longer works
Entelekya Logico-Metaphysical Review,2602-3466,12-November-2024,Journal not adhering to best practice
Revista de la Secretaría del Tribunal Permanente de Revisión,2307-5163,12-November-2024,Journal not adhering to best practice
Journal of Cutaneous and Aesthetic Surgery,0974-5157,11-November-2024,Deactivated by current publisher
"Машины и установки: проектирование, разработка и эксплуатация",2412-592X,10-November-2024,Journal not adhering to best practice
Przegląd Spawalnictwa,2449-7959,10-November-2024,Website URL no longer works
Yeni Üroloji Dergisi,2687-1955,7-November-2024,Website URL no longer works
Aèrokosmičeskij Naučnyj Žurnal,2413-0982,6-November-2024,Ceased publishing
Nauka i Obrazovanie,1994-0408,5-November-2024,Ceased publishing
Jurnal Lentera,2540-7767,5-November-2024,Journal not adhering to best practice
Klinik Psikoloji Dergisi,2602-4438,5-November-2024,Journal not adhering to best practice
"Sustainability, Agri, Food and Environmental Research",0719-3726,5-November-2024,Ceased
Biota Amazônia,2179-5746,5-November-2024,Website URL no longer works
Mütefekkir,2148-8134,4-November-2024,Journal not adhering to best practice
Revista CS,2665-4814,4-November-2024,Journal not adhering to best practice
Revista Internacional de Principios y Prácticas del Diseño,2641-4406,31-October-2024,Journal not adhering to best practice
Revista de Marketing y Publicidad,2792-405X,31-October-2024,Journal not adhering to best practice
Cuadernos.info,0719-367X,31-October-2024,Journal not adhering to best practice
Tadulako Law Review,2527-2985,30-October-2024,Website URL no longer works
Traduction et Langues,1112-3974,30-October-2024,Journal not adhering to best practice
"Ciencia, Técnica y Mainstreaming Social",2530-7924,30-October-2024,Journal not adhering to best practice
Millah: Journal of Religious Studies,2527-922X,30-October-2024,Journal not adhering to best practice
Etnosia,2548-9747,29-October-2024,Journal not adhering to best practice
Equilibrium. Quarterly Journal of Economics and Economic Policy,2353-3293,28-October-2024,Website URL no longer works
"Proyecto, Progreso, Arquitectura",2173-1616,28-October-2024,Journal not adhering to best practice
Gender Forum - An Internet Journal for Gender Studies,1613-1878,28-October-2024,Website URL no longer works
Revista Criminalidad,2256-5531,28-October-2024,Journal not adhering to best practice
Journal of Human Sport and Exercise,1988-5202,28-October-2024,Journal not adhering to best practice
International Journal of Molecular Sciences,1422-0067,23-October-2024,Journal not adhering to best practice
Indonesian Community Journal,2809-2031,23-October-2024,Journal not adhering to best practice
Sawala: Jurnal Administrasi Negara,2598-4039,23-October-2024,Journal not adhering to best practice
Waste Technology ,2338-6207,23-October-2024,Journal not adhering to best practice
Journal of Composites Science,2504-477X,21-October-2024,Journal not adhering to best practice
Healthcare,2227-9032,21-October-2024,Journal not adhering to best practice
Environments,2076-3298,21-October-2024,Journal not adhering to best practice
Climate,2225-1154,21-October-2024,Journal not adhering to best practice
Forests,1999-4907,21-October-2024,Journal not adhering to best practice
Nutrients,2072-6643,21-October-2024,Journal not adhering to best practice
Minerals,2075-163X,21-October-2024,Journal not adhering to best practice
Catalysts,2073-4344,21-October-2024,Journal not adhering to best practice
Современные технологии управления,2226-9339,17-October-2024,Journal not adhering to best practice
International Cardiovascular Forum Journal ,2409-3424,16-October-2024,Journal not adhering to best practice
Literatura e Autoritarismo,1679-849X,15-October-2024,Journal not adhering to best practice
Cuizine : the Journal of Canadian Food Cultures,1918-5480,12-October-2024,Website URL no longer works
Jurnal Endurance,2477-6521,12-October-2024,Website URL no longer works
Tushuguanxue yu Zixun Kexue,2224-1574,12-October-2024,Ceased publishing
Dinamika Penelitian: Media Komunikasi Penelitian Sosial Keagamaan,1412-2669,11-October-2024,Website URL no longer works
La Ciencia al Servicio de la Salud y Nutrición,1390-874X,11-October-2024,Journal not adhering to best practice
Anuário Antropológico,0102-4302,11-October-2024,Journal not adhering to best practice
Revista de Iniciação Científica e Extensão,2595-4261,10-October-2024,Journal not adhering to best practice
Southwest Journal of Pulmonary and Critical Care,2160-6773,10-October-2024,Journal not adhering to best practice
Educational Challenges,2709-7986,8-October-2024,Journal not adhering to best practice
IJEMS (Indonesian Journal of Environmental Management and Sustainability),2598-6279,7-October-2024,Journal not adhering to best practice
African Journal of Biological Sciences,2663-2187,4-October-2024,Journal not adhering to best practice
International Review,2560-3353,3-October-2024,Journal not adhering to best practice
International Education Trend Issue,2963-0878,3-October-2024,Journal not adhering to best practice
"International Journal of Business, Law, and Education",2747-139X,3-October-2024,Journal not adhering to best practice
European Journal of Privacy Law & Technologies,2704-8012,2-October-2024,Journal not adhering to best practice
World Nutrition Journal,2580-7013,2-October-2024,Journal not adhering to best practice
G-Tech,2623-064X,2-October-2024,Journal not adhering to Best practice
Indonesian Journal of Educational Development,2722-3671,1-October-2024,Journal not adhering to Best practice
Archive: Jurnal Pengabdian Kepada Masyarakat,2809-7246,1-October-2024,Website URL no longer works
Jurnal Evaluasi Pendidikan,2086-7425,2-October-2024,Journal not adhering to Best practice
Issues in Language Studies ,2180-2726,1-October-2024,Journal not adhering to Best practice
Diversitates,1984-5073,30-September-2024,Ceased publishing
مدیریت منابع انسانی در ورزش,2383-1502,28-September-2024,Journal not adhering to Best practice
Diagnostic Pathology,2364-4893,28-September-2024,Ceased publishing
Advances in Mathematical Finance and Applications,2645-4610,28-September-2024,Journal not adhering to Best practice
Romantik,2246-2945,28-September-2024,Ceased publishing
Педагогическая перспектива,2782-2559,27-September-2024,Journal not adhering to Best practice
Сибирские исследования,2658-7181,26-September-2024,Ceased publishing
ConCiencia EPG,2517-9896,26-September-2024,Journal not adhering to Best practice
Kalpana,1390-5775,26-September-2024,Journal not adhering to Best practice
Diritto Penale Contemporaneo,2039-1676,25-September-2024,Ceased publishing
Figure,2283-9348,25-September-2024,Ceased publishing
Advances in Technology Innovation,2518-2994,25-September-2024,Journal not adhering to Best practice
International Journal of Engineering and Technology Innovation,2226-809X,25-September-2024,Journal not adhering to Best practice
Proceedings of Engineering and Technology Innovation,2518-833X,25-September-2024,Journal not adhering to Best practice
Journal of Contemporary Clinical Practice,2457-7200,25-September-2024,Inactive (has not published in the last calendar year)
Revista Estomatologâia,2248-7220,25-September-2024,Journal not adhering to Best practice
ConCienciaSocial,2591-5339,25-September-2024,Journal not adhering to Best practice
Giornale di Storia,2036-4938,23-September-2024,Journal not adhering to Best practice
BRaS Blog,2701-4924,23-September-2024,Ceased publishing
Journal of Pedagogical Sociology and Psychology ,2687-3788,23-September-2024,Journal not adhering to Best practice
Taiwan Journal of Linguistics ,1994-2559,23-September-2024,Journal not adhering to Best practice
Diritto Penale e Uomo,2704-6516,22-September-2024,"Journal not adhering to Best practice, Inactive"
OncoTargets and Therapy,1178-6930,20-September-2024,Journal not adhering to Best practice
Journal of Advanced Veterinary Research,2090-6277,20-September-2024,Journal not adhering to Best practice
Jounal of Negative and No Positive Results,2529-850X,20-September-2024,Journal not adhering to Best practice
Revista Madrileña de Salud Pública,2659-9716,20-September-2024,Website URL no longer works
Millennium DIPr,2444-3220,20-September-2024,Journal not adhering to Best practice
Arqueología Iberoamericana,1989-4104,20-September-2024,Journal not adhering to Best practice
ZooNotes,1313-9916,20-September-2024,Journal not adhering to Best practice
"Journal of Nepal Medical Association
",1815-672X,19-September-2024,Journal not adhering to Best practice
Journal not adhering to Best practice,2444-3220,19-September-2024,Journal not adhering to Best practice
Annali di Botanica,0365-0812,19-September-2024,Journal not adhering to Best practice
Global Business and Finance Review ,2384-1648,19-September-2024,Journal not adhering to Best practice
Educenter,2827-7988,18-September-2024,Journal not adhering to Best practice
Jurnal Kejuruteraan,2289-7526,18-September-2024,Journal not adhering to Best practice
Гепатология и гастроэнтерология,2616-5546,17-September-2024,Journal not adhering to Best practice
Journal of Multidisciplinary Applied Natural Science,2774-3047,17-September-2024,Journal not adhering to Best practice
U Karst,2581-0855,17-September-2024,Journal not adhering to Best practice
Agro Bali: Agricultural Journal,2655-853X,17-September-2024,Journal not adhering to Best practice
Journal of Culture and Values in Education,2590-342X,17-September-2024,Journal not adhering to Best practice
Journal of Curriculum Studies Research,2690-2788,17-September-2024,Journal not adhering to Best practice
Research in Educational Policy and Management,2691-0667,17-September-2024,Journal not adhering to Best practice
Research in Social Sciences and Technology,2468-6891,17-September-2024,Journal not adhering to Best practice
Traektoriâ Nauki,2413-9009,13-September-2024,Journal not adhering to Best practice
UPGTO,2007-977X,13-September-2024,Journal not adhering to Best practice
Entorno,2071-8748,13-September-2024,Journal not adhering to Best practice
Genes,2073-4425,12-September-2024,Journal not adhering to Best practice
Revista Conrado,1990-8644,12-September-2024,Journal not adhering to Best practice
Gláuks Online ,2318-7131,11-September-2024,Website URL no longer works
Bioscience Reports ,1573-4935,9-September-2024,Journal not adhering to Best practice
Saudi Journal of Biological Sciences,1319-562X,8-September-2024,Ceased publishing
Cancers,2072-6694,6-September-2024,Journal not adhering to Best practice
Journal of Clinical Medicine,2077-0383,6-September-2024,Journal not adhering to Best practice
Food Science & Nutrition,2048-7177,6-September-2024,Journal not adhering to Best practice
Iranian Journal of Catalysis ,2252-0236,6-September-2024,Journal not adhering to Best practice
Estudios Artísticos,2500-9311,6-September-2024,Journal not adhering to Best practice
Sovremennoe Stroitelʹstvo i Arhitektura,2411-3581,5-September-2024,Journal not adhering to Best practice
Avtomatizaciâ i Upravlenie v Tehničeskih Sistemah,2306-1561,5-September-2024,Ceased publishing
Revista Inclusiones,0719-4706,4-September-2024,Journal not adhering to Best practice
El Jardín de los Poetas,2469-2131,3-September-2024,Journal not adhering to Best practice
Revista Derechos en Acción,2525-1686,3-September-2024,Journal not adhering to Best practice
"Brand Research in Accounting, Negociation and Distribution",2067-8177,3-September-2024,Journal not adhering to Best practice
Brain: Broad Research in Artificial Intelligence and Neuroscience,2067-3957,3-September-2024,Journal not adhering to Best practice
Sensors & Transducers,2306-8515,3-September-2024,Journal not adhering to Best practice
Παρεκβολαί,2241-0228,2-September-2024,Journal not adhering to Best practice
Politeia,2566-2805,2-September-2024,Inactive
Current Trends in Natural Sciences,2284-953X,2-September-2024,Journal not adhering to Best practice
Balneo Research Journal,2069-7619,2-September-2024,Journal not adhering to Best practice
Evropejskij Issledovatelʹ,2219-8229,1-September-2024,Journal not adhering to Best practice
Revista Litteris,1983-7429,1-September-2024,Website URL no longer works
Jurnal Keamanan Nasional,2579-7727,1-September-2024,Journal not adhering to Best practice
European Cooperation,2449-7320,30-August-2024,Inactive
Ecologica Montenegrina,2336-9744,30-August-2024,Website URL no longer works
"Akademos: Revista de Ştiinţă, Inovare, Cultură şi Artă",1857-0461,30-August-2024,Journal not adhering to Best practice
Interdisciplinary Description of Complex Systems,1334-4676,29-August-2024,Journal not adhering to Best practice
Journal of Cellular and Molecular Anesthesia,2476-5120,29-August-2024,Journal not adhering to Best practice
روانشناسی زن,2783-333X,29-August-2024,Journal not adhering to Best practice
سنجش و پژوهش در مشاوره کاربردی,2821-2738,29-August-2024,Journal not adhering to Best practice
مطالعات روانشناختی نوجوان و جوان,2821-2525,29-August-2024,Journal not adhering to Best practice
Geoscience Frontiers,2588-9192,28-August-2024,Journal not adhering to Best practice
Majallah-i ̒Ilmī-i Dānishgāh-i ̒Ulūm-i Pizishkī-i Simnān,1608-7046,28-August-2024,Journal not adhering to Best practice
"Engineering, Technology & Applied Science Research",1792-8036,27-August-2024,Journal not adhering to Best practice
International Journal of Business & Economic Development,2051-8498,27-August-2024,Journal not adhering to Best practice
სამართალი და მსოფლიო,2587-5043,26-August-2024,Journal not adhering to Best practice
Revista de Administração da UFSM,1983-4659,25-August-2024,Journal not adhering to Best practice
Revista Geotemas,2236-255X,25-August-2024,Journal not adhering to Best practice
Can Tho University Journal of Science,2815-5602,23-August-2024,Journal not adhering to Best practice
Small Animal Advances,2821-2363,22-August-2024,Journal not adhering to Best practice
Journal Evaluation in Education,2716-1595,22-August-2024,Journal not adhering to Best practice
Integrated Science Education Journal,2716-1609,22-August-2024,Journal not adhering to Best practice
Schrödinger,2716-1587,22-August-2024,Journal not adhering to Best practice
Судебная Медицина,2411-8729,21-August-2024,Journal is no longer Open Access
International Journal of Motor Control and Learning,2676-3451,21-August-2024,Website URL no longer works
Journal of Education Culture and Society,2081-1640,21-August-2024,Journal not adhering to Best practice
iRASD Journal of Computer Science and Information Technology,2791-0628,19-August-2024,Inactive (has not published after 2021)
International Journal of Social Sciences and Economic Review,2706-9346,19-August-2024,Journal not adhering to Best practice
Journal of Personalized Medicine,2075-4426,14-August-2024,Journal not adhering to Best practice
Visión Electrónica,2248-4728,14-August-2024,Journal not adhering to Best practice
Karib,2387-6743,13-August-2024,Ceased publishing
South Eastern European Journal of Public Health,2197-5248,13-August-2024,Journal not adhering to Best practice
Metallurgical & Materials Engineering,2812-9105,13-August-2024,Journal not adhering to Best practice
Journal of International Crisis and Risk Communication Research,2576-0025,13-August-2024,Journal not adhering to Best practice
Green and Low-Carbon Economy,2972-3787,12-August-2024,Journal not adhering to Best practice
Eduslamic,2988-6686,12-August-2024,Journal not adhering to Best practice
Desenvolvimento em Questão,1678-4855,11-August-2024,Journal not adhering to Best practice
Revista Brasileira de Engenharia de Biossistemas,1981-7061,11-August-2024,Journal not adhering to Best practice
Revista Macambira,2594-4754,11-August-2024,Journal not adhering to Best practice
Advances in the Theory of Nonlinear Analysis and its Applications,2587-2648,8-August-2024,Website URL no longer works
Uluslararası Sosyal Bilimler Dergisi,2564-6486,8-August-2024,Website URL no longer works
Tavukçuluk Araştırma Dergisi,1302-3209,8-August-2024,Website URL no longer works
Erken Çocukluk Çalışmaları Dergisi,2564-7601,8-August-2024,Website URL no longer works
Eksyar: Jurnal Ekonomi Syari'ah dan Bisnis Islam,2407-3709,7-August-2024,Website URL no longer works
International Investment Law Journal,2734-8830,5-August-2024,Journal not adhering to Best practice
Journal of the Medical Sciences,2356-3931,29-July-2024,Journal not adhering to Best practice
Adilla,2620-9535,29-July-2024,Journal not adhering to Best practice
Sasdaya: Gadjah Mada Journal of Humanities,2549-3884,29-July-2024,Journal not adhering to Best practice
EntreLetras,2179-3948,28-July-2024,Journal not adhering to Best practice
School Education Journal PGSD FIP Unimed,2407-4926,27-July-2024,Journal not adhering to Best practice
Bio-Inoved: Jurnal Biologi-Inovasi Pendidikan,2714-9803,27-July-2024,Journal not adhering to Best practice
RISTI,1646-9895,26-July-2024,Journal not adhering to Best practice
"Journal of Human Rights, Culture and Legal System",2807-2812,22-July-2024,Journal not adhering to Best practice
Kaypunku,2410-1923,20-July-2024,Journal not adhering to Best practice
مجلة الميادين الاقتصادية ,2716-8565,19-July-2024,Website URL no longer works
Transdigital,2683-328X,19-July-2024,Journal not adhering to Best practice
Revista Faccea,2539-4703,18-July-2024,Journal not adhering to Best practice
Telematika,2442-4528,17-July-2024,Journal not adhering to Best practice
Revista Mosaicum,1980-4180,17-July-2024,Website URL no longer works
Media Ekonomi,2442-9686,16-July-2024,Website URL no longer works
Indonesian Journal of Sustainability Accounting and Management ,2597-6222,16-July-2024,Website URL no longer works
Sleep Disorders,2090-3553,15-July-2024,Ceased publishing
Vidyottama Sanatana: International Journal of Hindu Science and Religious Studies,2550-0651,15-July-2024,Website URL no longer works
Psychiatry Journal ,2314-4335,15-July-2024,Ceased publishing
BCES Conference Books,2534-8426,15-July-2024,Website URL no longer works
Journal of Sports Medicine,2314-6176,15-July-2024,Ceased publishing
Journal of Addiction,2090-7850,15-July-2024,Ceased publishing
International Journal of Otolaryngology,1687-921X,15-July-2024,Ceased publishing
International Journal of Chronic Diseases,2314-5749,15-July-2024,Ceased publishing
Education Research International,2090-4010,15-July-2024,Ceased publishing
Autism Research and Treatment,2090-1933,15-July-2024,Ceased publishing
Advances in Preventive Medicine,2090-3499,15-July-2024,Ceased publishing
Jurnal Akuntansi dan Bisnis,2580-5444,13-July-2024,Journal not adhering to Best practice
 IJEIS (Indonesian Journal of Electronics and Instrumentation Systems) ,2460-7681,11-July-2024,Journal not adhering to Best practice
Studies in the Maternal,1759-0434,11-July-2024,Inactive (has not published in the last calendar year)
Iberoamerican Journal of Project Management,2346-9161,9-July-2024,Website URL no longer works
Jurnal Kajian Ruang Sosial-Budaya,2597-7326,9-July-2024,Ceased publishing
Pakistan Administrative Review,2521-0203,7-July-2024,Website URL no longer works
Harvard Deusto Business Research,2254-6235,5-July-2024,Website URL no longer works
Jurnal Lisania,2580-1716,2-July-2024,Website URL no longer works
Kesmas: Jurnal Kesehatan Masyarakat Nasional,2460-0601,2-July-2024,Journal not adhering to Best practice
The Nucleus,2306-6539,2-July-2024,Journal not adhering to Best practice
Strategic Public Management Journal,2149-9543,2-July-2024,Journal not adhering to Best practice
مجلة البشائر الاقتصادية,2600-6391,1-July-2024,Ceased publishing
"CEM: Cultura, Espaço & Memória",2182-1097,29-June-2024,Journal not adhering to Best practice
Estima,2595-7007,29-June-2024,Journal not adhering to Best practice
Revista Psicologia e Saúde,2177-093X,29-June-2024,Journal not adhering to Best practice
"Archivos de Criminología, Seguridad Privada y Criminalística",2007-2023,28-June-2024,Website URL no longer works
Rossijskij Vestnik Perinatologii i Pediatrii,2500-2228,28-June-2024,Journal is no longer Open Access
مجلة بحوث الادارة والاقتصاد,2676-184X,27-June-2024,Journal not adhering to Best practice
آفاق للعلوم,2507-7228,27-June-2024,Journal not adhering to Best practice
Lúmina,2619-6174,27-June-2024,Website URL no longer works
Jurnal Kependidikan,2598-4845,25-June-2024,Journal not adhering to Best practice
International Journal of Applied Biology,2580-2119,25-June-2024,Journal not adhering to Best practice
Grand Journal of Urology,2757-7163,25-June-2024,Journal not adhering to Best practice
Human Figurations: Long-term Perspectives on the Human Condition,2166-6644,24-June-2024,Ceased publishing
JIM - Jornal de Investigação Médica,2184-7509,24-June-2024,Journal not adhering to Best practice
J2,2184-3082,24-June-2024,Journal not adhering to Best practice
Herança,2184-3090,24-June-2024,Journal not adhering to Best practice
E3,2183-380X,24-June-2024,Journal not adhering to Best practice
Вестник московского государственного областного университета. Серия: Физика-математика,2310-7251,23-June-2024,Website URL no longer works
Вестник Московского государственного областного университета. Серия: Психологические науки,2310-7235,23-June-2024,Website URL no longer works
Вестник Московского государственного областного университета. Серия: Философские науки,2310-7227,23-June-2024,Website URL no longer works
Вестник Московского государственного областного университета: Серия: Русская филология,2310-7278,23-June-2024,Website URL no longer works
Географическая среда и живые системы,2712-7621,23-June-2024,Website URL no longer works
Вестник Московского государственного областного университета: Серия: Естественные науки,2310-7189,23-June-2024,Website URL no longer works
Avances,1562-3297,23-June-2024,Website URL no longer works
Advances in Scientific and Applied Accounting,1983-8611,23-June-2024,Website URL no longer works
Macrolinguistics,1934-5755,23-June-2024,Website URL no longer works
Türkiye Din Eğitimi Araştırmaları,2636-7807,19-June-2024,Journal not adhering to Best practice
" Journal of the Turkish Chemical Society, Section A: Chemistry",2149-0120,19-June-2024,Journal not adhering to Best practice
International Journal of Professional Business Review,2525-3654,18-June-2024,Journal not adhering to Best practice
Webology,1735-188X,17-June-2024,Journal not adhering to Best practice
مجله شهرسازی و مهندسی,2709-4650,17-June-2024,Inactive (has not published in the last calendar year)
BJ Kines: National Journal of Basic & Applied Sciences,2395-7859,11-June-2024,Journal not adhering to Best practice
Revista Brasileira de Atividade Física e Saúde,1413-3482,8-June-2024,Journal not adhering to Best practice
Социология власти,2074-0492,7-June-2024,Website URL no longer works
Acta Veterinaria Brasilica,1981-5484,7-June-2024,Journal not adhering to Best practice
Investigación Administrativa,2448-7678,4-June-2024,Journal not adhering to Best practice
Türk Turizm Araştırmaları Dergisi,2587-0890,4-June-2024,Journal not adhering to Best practice
Pesquisa Veterinária Brasileira ,1678-5150,3-June-2024,Journal not adhering to Best practice
Persona ,2615-5168,2-June-2024,Journal not adhering to Best practice
J-TIT (Jurnal Teknologi Informasi dan Terapan),2580-2291,2-June-2024,Journal not adhering to Best practice
Journal of Current Biomedical Reports,2717-1906,30-May-2024,Journal not adhering to Best practice
Management and Economics Research Journal,2469-4339,29-May-2024,Journal not adhering to Best practice
Wissen schafft Demokratie,2512-9716,28-May-2024,Website URL no longer works
Ingeniería al Día,2389-7309,28-May-2024,Website URL no longer works
Revista de la Facultad de Ingeniería,0124-7492,28-May-2024,Ceased publishing
Journal of Epileptology,2300-0147,28-May-2024,Website URL no longer works
Australasian Journal of Neuroscience,2208-6781,28-May-2024,Website URL no longer works
International Journal of Orientation & Mobility,1836-0254,28-May-2024,Website URL no longer works
Journal of management sciences,2313-0113,28-May-2024,Journal not adhering to Best practice
The Scottish Journal of Performance,2054-1961,28-May-2024,Website URL no longer works
Cultura Científica,1657-463X,27-May-2024,Ceased publishing
Urología Colombiana,2027-0119,27-May-2024,Ceased publishing
Aporte Santiaguino,2070-836X,27-May-2024,Journal not adhering to Best practice
Revista (Con)textos Linguísticos,1982-291X,27-May-2024,Journal not adhering to Best practice
Bionatura,1390-9347,27-May-2024,Journal not adhering to Best practice
Revista Brasileira de Sociologia,2318-0544,26-May-2024,Website URL no longer works
Educação Matemática em Revista,2317-904X,26-May-2024,Website URL no longer works
Revista Brasileira de Gastronomia,2595-5373,26-May-2024,Website URL no longer works
Revista Com Censo,2359-2494,26-May-2024,Website URL no longer works
Journal of Bioresources and Environmental Sciences,2829-7741,26-May-2024,Journal not adhering to Best practice
Toloo-e-behdasht,2538-1598,24-May-2024,Journal not adhering to Best practice
Tobacco Prevention and Cessation,2459-3087,24-May-2024,Journal not adhering to Best practice
European Journal of Midwifery,2585-2906,24-May-2024,Journal not adhering to Best practice
Pneumon,1791-4914,24-May-2024,Journal not adhering to Best practice
Journal of Dinamika Hukum,2407-6562,24-May-2024,Journal not adhering to Best practice
JISI UMJ: Jurnal Integrasi Sistem Industri,2550-083X,24-May-2024,Journal not adhering to Best practice
Revista Brasileira do Ensino Médio,2595-816X,23-May-2024,Ceased publishing
"Direito, Estado e Sociedade",1982-0879,23-May-2024,Ceased publishing
Perspectivas Online : Exatas e Engenharias,2236-885X,23-May-2024,Website URL no longer works
"InSitu: Revista Científica do Programa de Mestrado Profissional em Projeto, Produção e Gestão do Espaço Urbano",2446-9696,23-May-2024,Ceased publishing
